"","Select characteristics...1","Total","device_always","device_usually","device_sometimes","device_rarely","device_never","device_nr","internet_always","internet_usually","internet_sometimes","internet_rarely","internet_never","internet_nr","State","Week"
"226","35000-49999",8384,3005,5379,0,0,0,0,2810,5574,0,0,0,0,"DC",1
"227","50000-74999",5231,3837,144,856,395,0,0,4009,0,768,454,0,0,"DC",1
"228","75000-99999",3988,2609,611,768,0,0,0,3018,970,0,0,0,0,"DC",1
"229","100000-149999",11916,9596,2031,288,0,0,0,10937,978,0,0,0,0,"DC",1
"230","150000-199999",7340,5131,1708,501,0,0,0,6558,782,0,0,0,0,"DC",1
"231","200000<",19277,17256,1537,485,0,0,0,18218,900,159,0,0,0,"DC",1
"232","income_nr",8401,2643,4252,0,0,828,678,4092,295,0,0,828,3187,"DC",1
"233","Total",215587,153292,41692,9684,8225,2078,616,159176,39638,12621,592,1364,2196,"DE",1
"234","comp_school",88655,55076,22446,4056,7077,0,0,55410,21775,11469,0,0,0,"DE",1
"235","comp_home",149052,116109,21420,7380,4143,0,0,122566,19953,5943,0,590,0,"DE",1
"236","comp_other",17757,1842,11799,0,4116,0,0,981,12718,3465,592,0,0,"DE",1
"237","comp_nr",4274,395,0,1185,0,2078,616,310,775,219,0,774,2196,"DE",1
"238","int_school",2959,2632,0,327,0,0,0,2632,0,327,0,0,0,"DE",1
"239","int_home",202825,147512,41534,6649,5826,1304,0,153596,38741,10488,0,0,0,"DE",1
"240","int_other",3382,984,0,0,2399,0,0,475,509,1806,592,0,0,"DE",1
"241","int_nr",7268,3012,158,2708,0,774,616,2811,897,0,0,1364,2196,"DE",1
"242","yes_unemployed",135320,85250,34945,6127,6816,1565,616,90238,31240,12062,592,572,616,"DE",1
"243","no_unemployed",80267,68042,6747,3557,1408,512,0,68937,8398,559,0,792,1580,"DE",1
"244","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"DE",1
"245","resp_employed_yes",130454,102842,15035,6127,5921,529,0,102991,18738,5963,592,590,1580,"DE",1
"246","resp_employed_no",84790,50107,26657,3557,2304,1549,616,56184,20558,6658,0,774,616,"DE",1
"247","resp_employed_nr",342,342,0,0,0,0,0,0,342,0,0,0,0,"DE",1
"248","food_enough_want",139070,115606,15740,6022,0,1085,616,122338,13000,2131,0,590,1011,"DE",1
"249","food_enough_notwant",48951,35090,9655,2658,556,993,0,33002,9071,4920,0,774,1185,"DE",1
"250","food_sometimes",26401,1432,16297,1004,7669,0,0,2671,17568,5570,592,0,0,"DE",1
"251","food_notenough",1165,1165,0,0,0,0,0,1165,0,0,0,0,0,"DE",1
"252","food_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"DE",1
"253","25000>",29341,24676,1865,1371,592,219,616,25284,2330,518,592,0,616,"DE",1
"254","25000-34999",34810,8902,17005,1827,7077,0,0,12081,15763,6966,0,0,0,"DE",1
"255","35000-49999",29987,22337,4887,1635,556,572,0,21423,7495,497,0,572,0,"DE",1
"256","50000-74999",28148,21245,5040,887,0,977,0,20323,7446,177,0,202,0,"DE",1
"257","75000-99999",24209,16535,6252,1423,0,0,0,18326,1266,4027,0,590,0,"DE",1
"258","100000-149999",39494,32608,6090,797,0,0,0,35656,3403,436,0,0,0,"DE",1
"259","150000-199999",6854,6854,0,0,0,0,0,6345,509,0,0,0,0,"DE",1
"260","200000<",14721,13811,395,204,0,310,0,14415,306,0,0,0,0,"DE",1
"261","income_nr",8022,6324,158,1540,0,0,0,5323,1120,0,0,0,1580,"DE",1
"262","Total",4185221,2898625,745263,272803,195022,42262,31246,2953315,663103,117169,110125,129827,211681,"FL",1
"263","comp_school",1377222,966321,194825,175861,40215,0,0,931686,230671,61368,55232,90595,7669,"FL",1
"264","comp_home",2759372,2038400,443838,121266,155868,0,0,2173765,449152,71777,54893,3836,5948,"FL",1
"265","comp_other",14097,10029,692,0,3375,0,0,10029,692,3375,0,0,0,"FL",1
"266","comp_nr",252650,38711,127479,8109,4843,42262,31246,8502,8384,2304,0,35396,198064,"FL",1
"267","int_school",64575,52038,0,12537,0,0,0,50593,13982,0,0,0,0,"FL",1
"268","int_home",3609873,2687892,569686,187705,156087,6866,1636,2843645,574013,112344,79870,0,0,"FL",1
"269","int_other",64596,51109,0,0,13487,0,0,32484,18625,0,13487,0,0,"FL",1
"270","int_nr",453871,115280,175577,72560,25448,35396,29610,34287,56482,4825,16768,129827,211681,"FL",1
"271","yes_unemployed",2477596,1624192,420016,225889,150376,42262,14860,1648473,392430,83903,57807,125991,168992,"FL",1
"272","no_unemployed",1707625,1274432,325248,46914,44645,0,16386,1304842,270673,33266,52318,3836,42689,"FL",1
"273","unemployed_nr",0,0,0,0,0,0,0,0,0,0,0,0,0,"FL",1
